127.0.0.1 - - [30/May/2024:09:12:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2024:09:12:49 +0900] "GET /Ex03ReqRes/Ex03Redirect.html HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [30/May/2024:09:12:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2024:09:13:12 +0900] "GET /Ex03ReqRes/Ex03Redirect.html HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [30/May/2024:09:21:38 +0900] "GET /Ex03ReqRes/Ex03Redirect.html HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [30/May/2024:09:21:44 +0900] "GET /Ex03ReqRes/Ex03Redirect.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:09:21:44 +0900] "GET /Ex03ReqRes/Ex01Request.html HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [30/May/2024:09:36:09 +0900] "GET /Ex03ReqRes/Ex03Redirect.html HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [30/May/2024:09:37:25 +0900] "GET /Ex03ReqRes/Ex03Redirect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:09:37:34 +0900] "GET /Ex03ReqRes/Ex03Naver.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:09:45:51 +0900] "GET /Ex03ReqRes/Ex04MoveURL.html HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [30/May/2024:09:48:37 +0900] "GET /Ex03ReqRes/Ex04MoveURL.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:09:48:41 +0900] "GET /Ex03ReqRes/Ex04MoveURL.html? HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [30/May/2024:09:50:09 +0900] "GET /Ex03ReqRes/Ex04MoveURL.html HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [30/May/2024:09:50:11 +0900] "GET /Ex03ReqRes/Ex04MoveURL.jsp? HTTP/1.1" 500 2699
0:0:0:0:0:0:0:1 - - [30/May/2024:09:51:00 +0900] "GET /Ex03ReqRes/Ex04MoveURL.jsp? HTTP/1.1" 500 2699
0:0:0:0:0:0:0:1 - - [30/May/2024:09:51:32 +0900] "GET /Ex03ReqRes/Ex04MoveURL.html HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [30/May/2024:10:24:43 +0900] "GET /Ex03ReqRes/Ex05Login.html HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [30/May/2024:11:28:01 +0900] "GET /Ex03ReqRes/Ex05Login.html HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [30/May/2024:11:28:25 +0900] "POST /Ex03ReqRes/Ex05Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:11:28:25 +0900] "GET /Ex03ReqRes/Ex05LoginFail.jsp HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [30/May/2024:11:28:33 +0900] "GET /Ex03ReqRes/Ex05Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:11:28:39 +0900] "POST /Ex03ReqRes/Ex05Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:11:28:39 +0900] "GET /Ex03ReqRes/Ex05LoginSuccess.jsp HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [30/May/2024:11:36:43 +0900] "GET /Ex03ReqRes/Ex05Login.jsp HTTP/1.1" 500 2562
0:0:0:0:0:0:0:1 - - [30/May/2024:11:36:47 +0900] "GET /Ex03ReqRes/Ex05Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:11:36:52 +0900] "POST /Ex03ReqRes/Ex05Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:11:36:52 +0900] "GET /Ex03ReqRes/Ex05LoginSuccess.jsp?id=smart HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [30/May/2024:11:43:56 +0900] "GET /Ex03ReqRes/Ex05Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2024:11:44:00 +0900] "POST /Ex03ReqRes/Ex05Login.jsp HTTP/1.1" 200 171
